Id,"SYMBOL 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","MATURITY DATE 
"
1,NTPC,Regular,8.66,1000.00,16-Dec-33
2,TCFSL,Regular,8.9,1000.00,27-Sep-23
3,IRFC,Regular,8.48,1000.00,18-Feb-24
4,NHAI,Regular,7.39,1000.00,09-Mar-31
5,IIFL,Regular,9.6,1000.00,24-Jun-28
6,ECLFINANCE,Regular,10.15,1000.00,04-Jan-29
7,NHBTF2014,Regular,9.01,5000.00,13-Jan-34
8,IIFL,Regular,8.42,1000.00,14-Oct-26
9,IIHFL,Regular,9.6,1000.00,03-Nov-28
10,IRFC,Regular,7.5,1000.00,21-Dec-35
11,NHAI,Regular,8.75,1000.00,05-Feb-29
12,IFCI,Regular,9.9,1000.00,01-Dec-24
13,IIHFL,Regular,10,1000.00,03-Nov-28
14,NHIT,Regular,7.9,400.00,14-Nov-47
15,ECLFINANCE,Regular,9.95,1000.00,04-Jan-24
16,NHAI,Regular,8.3,1000.00,25-Jan-27
17,L&TFINANCE,Regular,8.6,1000.00,23-Dec-24
18,ECLFINANCE,Regular,9.85,1000.00,06-Aug-28
19,NTPC,Regular,8.66,1000.00,16-Dec-23
20,PCHFL,Regular,9,1000.00,23-Jul-31
